Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9518456,2017-01-26,Reiseliv og transport,Sommmer er høysessong for oss og vi har behov for ekstra personal for å kunne avvikle ferie hos våre faste ansatte ,"['sommm', 'høysessong', 'behov', 'ekstr', 'personal', 'kunn', 'avvikl', 'feri', 'hos', 'fast', 'ansatt']",0
9527409,2017-02-10,Reiseliv og transport,vår facebookside,['facebooksid'],0
9527409,2017-02-10,Reiseliv og transport,no ev ,['ev'],0
9527409,2017-02-10,Reiseliv og transport,kommune ,['kommun'],0
9527409,2017-02-10,Reiseliv og transport,meldal ,['meldal'],0
9527409,2017-02-10,Reiseliv og transport,For fullstendige utlysningstekster se www ,"['fullstend', 'utlysningstekst', 'se', 'www']",0
9527409,2017-02-10,Reiseliv og transport,Ferievikarer innen helse og omsorg ,"['ferievikar', 'hels', 'omsorg']",0
9626912,2017-08-29,Reiseliv og transport,F og B manager deltar i hotellets ledergruppe ,"['f', 'b', 'manag', 'delt', 'hotell', 'ledergrupp']",0
9626912,2017-08-29,Reiseliv og transport,Vi søker en person med kokk og eller servitørbakgrunn med den rette innstilling og med kunnskap til å fylle en slik helhetlig rolle ,"['søk', 'person', 'kokk', 'ell', 'servitørbakgrunn', 'rett', 'innstilling', 'kunnskap', 'fyll', 'helhet', 'roll']",0
9626912,2017-08-29,Reiseliv og transport,a heter at vi skal være svært gode på service mat og vin ,"['a', 'het', 'vær', 'svært', 'god', 'servic', 'mat', 'vin']",0
9582202,2017-05-22,Reiseliv og transport,a ,['a'],0
9582202,2017-05-22,Reiseliv og transport,på e mail ,"['e', 'mail']",0
9582202,2017-05-22,Reiseliv og transport,Ved spørsmål ta kontakt med kjøkkensjef ,"['spørsmål', 'ta', 'kontakt', 'kjøkkensjef']",0
9582202,2017-05-22,Reiseliv og transport,Send CV og søknad til e post ,"['send', 'cv', 'søknad', 'e', 'post']",0
9582202,2017-05-22,Reiseliv og transport,Interessert ,['interesser'],0
9518871,2017-01-27,Reiseliv og transport,Kundebehandling ,['kundebehandling'],0
9582202,2017-05-22,Reiseliv og transport,Vi søker en person som har stor interesse for mat du er utadvent og ikke redd for å være ute blant gjester ,"['søk', 'person', 'stor', 'interess', 'mat', 'utadvent', 'ikk', 'redd', 'vær', 'ute', 'blant', 'gjest']",0
