Vector,Label
"['må', 'kunn', 'jobb', 'planmess', 'effektiv', 'nøyakt']",2
"['student', 'ca']",0
"['ungdom', 'arrangør', 'øke', 'ungdom', 'eierforhold', 'ulik', 'arrangement']",0
"['elektronisk', 'søknadsskjem']",0
"['competitiv', 'benefit', 'and', 'strong', 'focus', 'on', 'work']",0
"['virksom', 'rogaland', 'tua', 'tilbyr', 'behandling', 'omsorg', 'barn', 'ung', 'traumeproblematikk', 'omsorgssvikt']",1
"['bedrift', 'vekst', 'innfør', 'skiftarbeid', 'stilling', 'gå', 'skiftordning']",0
"['flyt', 'engelsk', 'skrift', 'munt']",3
"['lønnsspenn', 'kr']",0
"['gjern', 'kombinasjon', 'norsk', 'fremmedspråk']",0
"['års', 'erfaring', 'hr', 'relater', 'arbeid']",3
"['effektiv', 'strukturer', 'målrett', 'systematisk']",2
"['all', 'stilling', 'legg', 'vekt']",0
"['rekruttering', 'nyutdann', 'skjer', 'stor', 'grad', 'gjennom', 'vårt', 'traineeprogram']",0
"['sted', 'brobekkvei', 'oslo']",0
"['næringsliv', 'dramm', 'varier', 'består', 'bedrift', 'institusjon', 'totalt', 'nest', 'arbeidsplass']",0
"['aktivisering', 'beboer']",1
"['nordseterhjemm', 'ligg', 'lik', 'nordset', 'gård']",0
"['ordremedarbeid', 'fast', 'stilling']",0
"['idetifiser', 'verdi', 'lokal', 'uhøytid', 'profesjonell', 'engasjer']",2
"['teknisk', 'forstå', 'evn', 'initiativ', 'samt', 'arbeid', 'selvstend', 'team']",2
"['viss', 'spørsmål', 'søknadsprosess', 'kontakt', 'personalavdeling', 'via', 'servicetorg', 'tlf']",0
"['se', 'human']",0
"['person', 'selvgå', 'team']",2
"['the', 'work', 'is', 'carried', 'out', 'und', 'all', 'weath', 'condition']",0
"['hammerfest', 'kommun', 'inkluder', 'arbeidslivsbedrift', 'tilbyr', 'god', 'pensjonsordning', 'gjennom', 'klp', 'forsikring']",0
"['samt', 'kveldstid', 'kl']",0
"['annonsør', 'oslo', 'politidistrikt']",0
"['stilling', 'tilknytt', 'resepsjon']",0
"['arbeid', 'bredt', 'spekt', 'prosjekt', 'båd', 'offent', 'privat', 'oppdragsgiver']",0
"['to', 'receiv', 'and', 'plac', 'telephon', 'call']",1
"['the', 'team', 'is', 'expected', 'to', 'expand', 'in', 'the', 'futur']",0
"['entusiastisk', 'motiver', 'led', 'evn', 'bygg', 'kultur']",2
"['planlegg', 'iso']",0
"['effect', 'bemanning', 'as', 'www']",0
"['dett', 'må', 'ta', 'eventuelt', 'intervju']",0
"['tiltred', 'snart', 'mul', 'avtal']",0
['håp'],0
"['oppgav', 'omfatt', 'lokal', 'forhandling', 'kompetanseutvikling', 'led']",1
"['avdelingsled', 'kod', 'lønnsspenn', 'kr', 'kr']",1
"['relevant', 'experienc', 'can', 'weigh', 'up', 'lack', 'of', 'formal', 'education']",0
"['åpen', 'inkluder', 'lytt']",2
